,id,track_name,artist,album_name,album_release_date,album_track_num,album_track_placement,genre,duration_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
123,4xExX6cjgFyqKH2YCDCfvy,Klippens Lyse Hal,ORM,Ir,2019-08-30,1,0.5,,23.255633333333332,False,14,0.0858,0.814,6,-7.181,1,0.062,2.3e-05,0.691,0.0963,0.0627,171.799,4
124,2gVtkpR5o9FUcspCSPPnAk,Hautakammio,Sarastus,II-Toinen Tuleminen,2016-01-01,2,0.2857142857142857,,3.7125,False,14,0.358,0.996,4,-3.706,0,0.0939,0.000144,0.00013,0.318,0.0761,159.953,4
125,2AbIAcnuCngTZJXtmFQgzM,Angelus Noctium,Gatekeeper,Vigilance,2016-11-23,2,0.5,,5.133333333333334,False,2,0.356,0.985,7,-4.058,1,0.117,0.00481,8.46e-05,0.323,0.0399,80.042,4
126,6DPUkUI7c75GuP1RHkrX6M,I - I,Imha Tarikat,Kara Ihlas,2019-01-18,1,0.125,,4.91045,False,3,0.289,0.996,11,-7.906,0,0.147,0.000206,0.0212,0.532,0.0356,159.999,4
127,2a7DXqXW8QOLv6AJKWjhCh,Dehydrated,Pestilence,Consuming Impulse,1989,1,0.1,,3.133766666666667,False,23,0.216,0.996,6,-6.35,0,0.0936,2.1e-06,0.713,0.0456,0.0705,106.597,4
128,7e4lkNetyRdNclQoTqafDz,B S X,Anamanaguchi,[USA],2019-10-25,9,0.6428571428571429,,2.8612666666666664,False,0,0.317,0.946,0,-3.499,1,0.0997,5.1e-05,0.000369,0.0993,0.38,199.978,4
129,2RQ2bIwWj2OXvtV1gKd12l,Lorem Ipsum (Arctic Anthem),Anamanaguchi,[USA],2019-10-25,2,0.14285714285714285,,4.827733333333333,False,0,0.112,0.497,9,-6.469,1,0.0426,0.092,0.0605,0.119,0.154,179.748,4
130,1aayZc3JciIs2GhZcSlCrw,We're Finally Landing,Home,Before the Night,2014-12-28,1,0.09090909090909091,,4.5339833333333335,False,59,0.481,0.546,2,-13.266,1,0.0723,0.052,0.0263,0.454,0.072,180.047,4
131,414J4C2dLPCVIXOiFkInLW,Overwriting Incorporate,Anamanaguchi,[USA],2019-10-25,8,0.5714285714285714,,5.403266666666667,False,21,0.183,0.758,5,-5.029,1,0.0652,0.0141,0.000682,0.436,0.0863,172.482,4
132,4KnQbVbzW4iP3xmso7KAdt,Air On Line,Anamanaguchi,[USA],2019-10-25,6,0.42857142857142855,,4.980916666666667,False,31,0.507,0.781,1,-5.437,1,0.0345,0.0184,0.0184,0.381,0.315,95.019,4
133,47eqsTEkth7jXvTdH1pukG,Lorem Ipsum (Arctic Anthem),Anamanaguchi,[USA],2019-10-25,2,0.14285714285714285,,4.827733333333333,False,28,0.109,0.491,9,-6.513,1,0.0433,0.111,0.0765,0.13,0.162,179.122,4
134,3DPWS6ReALus69PChArhUT,"Divination, Pt. II",Vukari,Divination,2016-08-01,2,0.25,,3.9543166666666663,False,6,0.38,0.978,2,-5.436,1,0.0769,7.7e-06,0.938,0.3,0.0367,105.035,4
135,4o0s4aGMkIXug1erMhIjlA,The Great Solar Hunter,Consummation,The Great Solar Hunter,2019-06-07,2,0.4,,13.934266666666668,False,1,0.0992,0.96,5,-6.245,0,0.104,0.0021,0.868,0.408,0.0336,159.988,3
136,3EbW2UZ7TZUotaeqGPyaXV,Into the Vaults of Ingurgitating Obscurity,Chthe'ilist,Le Dernier Crépuscule,2016-01-29,2,0.2857142857142857,,7.618883333333333,False,15,0.109,0.961,8,-8.853,1,0.142,0.00304,0.74,0.291,0.0761,83.408,1
137,5otTJ8ljtbT4gCCofosMzN,Ophidian Crown,Consummation,The Great Solar Hunter,2019-06-07,1,0.2,,7.1662333333333335,False,1,0.0861,0.971,0,-6.516,1,0.136,0.000346,0.864,0.38,0.0328,180.017,3
138,4Ih8hxZfbM3O3DQsQpqiNp,A Victual For Our Dead Selves,False,Portent,2019-07-12,1,0.25,,10.8395,False,0,0.174,0.965,10,-6.835,1,0.106,5.04e-06,0.838,0.066,0.0385,120.794,4
139,4wBm4cfxyVu5TZgtuLMOUV,Veil,Haken,Vector,2018-10-26,4,0.5714285714285714,,12.598,False,33,0.318,0.918,7,-6.182,1,0.053,0.000234,0.26,0.121,0.106,118.528,4
140,42vNqMdc59HKSpIA0h78k1,Prophecies,Blind Guardian,Beyond The Red Mirror,2015-01-30,3,0.2727272727272727,,5.4542166666666665,False,0,0.458,0.908,1,-7.109,1,0.0586,0.000137,0.00269,0.0896,0.317,93.016,4
141,0FLm4uLEcat0Tpkrt3yfO0,The Ninth Wave,Blind Guardian,Beyond The Red Mirror,2015-01-30,1,0.09090909090909091,,9.491766666666667,False,0,0.473,0.888,3,-8.182,0,0.0783,0.000465,0.000928,0.382,0.224,119.039,4
142,1gPiK6YyvLbMlzTqdhmBLI,Let The Storm Descend Upon You,Avantasia,Ghostlights (Bonus Version),2016-01-29,2,0.08333333333333333,,12.170666666666667,False,0,0.334,0.913,0,-7.085,0,0.044,0.000802,2.64e-05,0.143,0.543,76.741,4
143,2X09X9bTGQSFxM7lQAXOSG,Mystery Of A Blood Red Rose,Avantasia,Ghostlights (Bonus Version),2016-01-29,1,0.041666666666666664,,3.8648833333333332,False,0,0.425,0.847,1,-6.643,1,0.0427,0.0532,0.0,0.11,0.391,156.961,4
144,1cBsAUYsYZNaxHxNPZ87Z7,Reach out for the Light,Avantasia,"The Metal Opera, Pt. I",2001-01-22,2,0.15384615384615385,,6.544433333333333,False,40,0.351,0.961,1,-4.334,0,0.0863,1.44e-05,2.59e-06,0.278,0.228,152.743,4
145,1UDqwcsJxMTXeYAeiSojbR,Okta Khora - Part 1,Monolithe,Okta Khora,2019-11-11,1,0.125,,4.066666666666666,False,0,0.456,0.473,5,-8.66,0,0.0339,0.0764,0.859,0.0953,0.0641,121.998,4
146,0azOzoJs5LnA2dn6rIqRwg,Nepenthe,Horrendous,Ecdysis,2014-10-28,6,0.6,,4.353483333333333,False,0,0.212,0.945,0,-9.217,1,0.0849,3.57e-06,0.847,0.168,0.126,97.78,4
147,38cco0XCrYULD9o4YzchJR,Brightstar,Voyager,Colours in the Sun,2019-11-01,3,0.3,,4.532166666666667,False,24,0.432,0.911,5,-5.079,1,0.094,0.0137,0.000551,0.06,0.313,129.971,4
148,3aBaPlhCqu1pQSm6XqeN5C,Remanence of a Ghost Haunt,Void Omnia,Dying Light,2016-09-23,1,0.2,,7.439766666666667,False,13,0.0759,0.966,0,-5.488,0,0.0814,1.27e-06,0.928,0.0529,0.0387,174.715,4
149,0GfMvTJqZvWnfXOR0oLwLm,Those Who Dwell in the Spiral Dark,Solar Temple,Fertile Descent,2018-09-28,1,0.5,,15.916666666666666,False,6,0.111,0.918,5,-8.635,1,0.0644,5.42e-05,0.949,0.361,0.149,155.046,3
150,5vDyDRQssplgB80dsfMamw,Black Horizon Is the Gates of a Blizzard,Windswept,The Great Cold Steppe,2017-03-31,1,0.16666666666666666,,7.266883333333333,False,3,0.209,0.993,9,-7.531,1,0.146,3.76e-06,0.91,0.0976,0.0215,175.265,4
